tid,comment,quality
71357,"Interesting and entertaining.  Instructor makes this class a pleasure and is very high energy.  He was always willing to answer questions and provide assistance and was happy to have engaged students.  Even if you aren't a SOC major, take this class!",awesome
71357,"Funny, interesting, and helpful! Definitely recommend Dr. White! He gets to know his students (which is amazing that he knows so many in such a large lecture) and enjoys what he does!",awesome
71357,"Frank is one of the best teachers at UND. It's sad that he's now done with the big lecture classes, because otherwise I'd highly recommend you take them. Intro to Soc. was extremely easy anyway, but he made going to class fun and that made the class awesome.",awesome
71357,"Most interesting prof. I've ever had. Even if you're not interested in the material his lectures will get you listening. Attendance is pretty much required with easy daily quizzes but it was honestly never a struggle to convince myself to go to this class. Definitely take at least one class from him.",awesome
71357,"He's such an awesome professor. He has passion for what he teaches and makes things interesting to us. He uses funny examples all the time that are sure to get a laugh out of you. I HIGHLY recommend taking this class from him.",good
71357,"Frank is by far one of the best teachers at UND. Lectures are very entertaining, and he has a fun sense of humor and great story-telling ability. Posts online memory matrices, review information, and a lecture outline to guide students. Highly recommend taking the class.",awesome
71357,"Frank White was a great professor! I looked forward to going to class because Frank was funny and outgoing during lectures and passionate toward what he was teaching. The tests were not to bad as long as you went to class and studied for them.",awesome
71357,"One of the best teachers i've ever had, all his classes are lecture based, he has a funny story for every topic he is talking about. Made coming to class fun. Highly recommended",awesome
71357,"Such a great professor.  He made and effort to get to know me personally.  Also, he makes class very interesting.  He talks about personal stories to help you understand the material.",awesome
71357,"AMAZING professor. He is the reason I switched my major to Sociology. Always attend class because he does not put notes online. If you can, bring your laptop for notes. He jumps around a lot and fills in things he missed during his lecture so it's easiest to use your computer and he doesn't use powerpoint.",awesome
71357,"Very interesting, has stories for everything. Doesn't use powerpoint which makes class much more interactive but make sure to take notes because most of the exam is based off of class. Best professor I've had at UND and very approachable",awesome
71357,"He was a great professor! If you take the time to talk to him and get to know him it will benefit you in the end.  Go to class though and pay attention, he doesn't put the notes online and he talks really fast! But overall he makes class interesting!",awesome
71357,"Frank is the best professor I've had. If you go to class and take the notes (he doesn't put them on powerpoint) it's an easy A. He tells funny stories and makes class really interesting.",good
71357,"Very entertaining.  Keeps you engaged! He connects things to real world stuff so it's easy to understand which makes the tests easy!",awesome
71357,"EXCELLENT teacher. if you are taking sociology take it from him. He is very funny and entertaining. you have to attend class or you wont have the notes for the tests which are 70% off of lecture notes. the other 30% is from the book which you have to read. he gives a study guide which is very helpful.",awesome
71357,"He is definitely the best professor I have had so far. He is really funny and personable and makes the class interesting. But, you need to go to class to get the notes because he doesnt put them up on blackboard and most of the test is based off lecture. Easy A if you go.",awesome
71357,"helpful , made the class interesting",awesome
71357,"he is the best teacher I have had at UND so far. he loves his job and wants you to learn. there is never a bad lecture.",awesome
71357,"Very passionate in his lecture, and likes to make the class laugh.  he always talks to people before class starts just to see how their day is going.  The only negative is that he does not use powerpoints so you have to write everything down.  He talks very fast too, so either learn how to type/write quickly.",good
71357,"Good teacher but my only complaints are he doesnt use powerpoint slides or post notes on blackboard so you have to write down everything he says and he talks fast & rambles a lot.Make friends in the class because if you miss a day you will need to get the notes from them or else you won't do that well on the tests. Do the study guides as well.",awesome
71357,"By far the best professor at UND. He is so passionate about his students and his career.  Going to class was always a blast, and almost every seat was always filled.",awesome
71357,"lectures are very interesting and helpful in understanding textbook",awesome
71357,"Hilarious and very interesting! I love this class and White really knows his stuff. Every lecture is entertaining. Labs are pointless though",awesome
71357,"THIS GUY IS HILARIOUS AND DEFINATELY KNOWS WHAT HE IS TALKING ABOUT. BY FAR THE BEST SOCIOLOGY TEACHER AND IS VERY EASY AND FUN TO LISTEN TO",good
71357,"I had this guy for a professor some years ago and I remember him doing a fantastic job.  His lectures were smooth and fast moving as he demonstrated an outstanding grasp of the material.  Easily one of the top three professors I've encountered in my college time.",awesome
71357,"AWESOME LECTURER! totally hilarious and keeps your attention guaranteed.  His classes are kind of random facts thrown together but review sheets help extremely on tests.  TA's are either awesome or insanely stuck up.... so beware. Lab homework is tedious but very easy.",awesome
71357,"One of the best professors at UND.  His lectures are humorous; not boring or &quot;death by power point.&quot;",good
71357,"Far and away the best Prof at UND. Funny as hell, great teacher, and cares for his students. Sometimes his class is like watching a stand-up comic.  Take any class you can, you will not regret it.",awesome
71357,"Frank's lectures are very interesting and they are also very easy to understand.  He also makes learning easy  by connecting stories to his lectures.",awesome
71357,"AWESOME teacher.  Very dynamic and makes the class very interesting.  I would take another class I don't find interesting at all, as long as he teaches it because he's such a great teacher.",awesome
71357,"Such a funny class!  Cant get over the accent.  His stories are so damn funny and they help you relate real life with the course teachings.  Take anything with this teacher",awesome
71357,"Frank is easily the best teacher I've had in my 3 years of college.  He really does seem to enjoy teaching and seems like a very genuinely caring guy.  Anyone looking to take this course, rest assured that you have an excellent professor in charge.  Again, one of the best teachers UND has.",awesome
71357,"A UND &quot;legend&quot;.  It's tough to get into his Intro class but worth the wait.  He's a great prof.",awesome
71357,"No Comments",awesome
71357,"This is the funnest ****ing professor ever. I went to the class just for fun, I wasn't even enrolled in it. (And it was the only class I went to during my 3 semesters at UND)",awesome
71357,"Frank has a way with the students, he is not just there because thats what he is suppose to do but I believe that he has passion in what he does which brings excitement to his class. Love the stories, they help me relate, when I study for his class it is so much easier when I have the stories to remember and fall back on.",awesome
71357,"frank white is my favorite professor, his attitude and energy is amazing. his class is one of the only classes i look forward too.",awesome
71357,"He is a great teacher. He relates what hes talking to real life so you can understand it better.",awesome
71357,"No Comments",awesome
71357,"No Comments",good
71357,"Loved his stories and films.  Fun class.  Learned lots.",good
71357,"Great teacher all around!",awesome
71357,"Very lousy teacher.  His stories rambled and were annoying.  He could have crammed what took him and hour to say into 30 seconds.  I stopped going after the first 3 weeks, and still pulled an A.  I guess he wasn't really needed.  They should get rid of him.",awful
71357,"Awesome teacher. He's one of the few teachers whose lectures I can actually pay attention to. I'll go into the class dog tired but come out completely energized. Very funny, knowledgeable guy.",awesome
71357,"very good teacher loved the stories, i think he is one of the best on campus",awesome
71357,"Made the class very interesting. Loved his stories!",awesome
71357,"one of the best lecturers I have ever seen.",awesome
71357,"Shares applicable stories in class to relate to material. . .entertaining!!",awesome
